,Name,top_assists
0,K. De Bruyne,12
1,B. Saka ,9
2,C. Eriksen ,7
3,Andreas Pereira ,6
4,A. Iwobi ,6
5,Bruno Fernandes ,6
6,M. Ødegaard ,6
7,J. Maddison ,5
8,J. Harrison ,5
9,D. Kulusevski ,5
10,G. Xhaka ,5
11,Gabriel Jesus ,5
12,I. Perisic ,5
13,A. Robertson ,5
14,Bernardo Silva ,5
15,Mohamed Salah ,5
16,M. Gibbs-White ,5
17,M. Olise ,5
18,Douglas Luiz ,5
19,J. Vardy ,4
20,O. Watkins ,4
21,K. Tete ,4
22,K. Iheanacho ,4
23,P. Foden ,4
24,E. Haaland ,4
25,M. Jensen ,4
26,L. Trossard ,4
27,Kostas Tsimikas ,4
28,Rodri ,4
29,D. Solanke ,4
30,S. March ,4
31,K. Trippier ,4
32,M. Tavernier ,4
33,J. Grealish ,4
34,R. Mahrez ,4
35,Son Heung-Min ,3
36,Darwin Núñez ,3
37,I. Toney ,3
38,E. Eze ,3
39,P. Groß ,3
40,A. Saint-Maximin ,3
41,I. Gündogan ,3
42,Roberto Firmino ,3
43,N. Kebano ,3
44,Sean Longstaff ,3
45,M. Rashford ,3
46,P. Daka ,3
47,P. Højbjerg ,3
48,Bruno Guimarães ,3
49,C. Wilson ,3
50,Casemiro ,3
51,S. Benrahma ,3
52,B. Mbeumo ,3
53,P. Estupiñán ,3
54,D. Welbeck ,2
55,R. Henry ,2
56,O. Zinchenko ,2
57,L. Kelly ,2
58,R. Sterling ,2
59,B. Davies ,2
60,M. Cucurella ,2
61,J. Ward-Prowse ,2
62,O. Edouard ,2
63,L. Bailey ,2
64,Y. Wissa ,2
65,T. Mitchell ,2
66,A. Martial ,2
67,Diogo Dalot ,2
68,J. Stones ,2
69,D. Rice ,2
70,Richarlison ,2
71,R. Perraud ,2
72,B. Aaronson ,2
73,C. Doucoure ,2
74,M. Antonio ,2
75,Thiago Silva ,2
76,L. Cook ,2
77,J. Ramsey ,2
78,Willian ,2
79,H. Kane ,2
80,T. Castagne ,2
81,R. Bentancur ,2
82,B. White ,2
83,Joe Willock ,2
84,C. Adams ,2
85,L. Díaz ,2
86,Gabriel Martinelli ,2
87,M. Mount ,2
88,W. Zaha ,2
89,Lucas Paquetá ,2
90,Diogo Jota ,2
91,K. Dewsbury-Hall ,2
92,L. Shaw ,2
93,J. Gelhardt ,2
94,C. Lenglet ,2
95,P. Bamford ,2
96,S. Greenwood ,2
97,P. Dasilva ,2
98,Fábio Vieira ,2
99,C. Nørgaard ,2
100,João Moutinho ,2
101,D. McNeil ,2
102,J. McGinn ,2
103,T. Alexander-Arnold ,2
104,E. Ferguson ,2
105,A. Garnacho Ferreyra ,2
106,B. Johnson ,2
107,D. Ouattara ,2
108,J. Bowen ,2
109,Joelinton ,1
110,Emerson Royal ,1
111,M. Djenepo ,1
112,Adam Armstrong ,1
113,Hwang Hee-Chan ,1
114,P. Struijk ,1
115,S. Mara ,1
116,J. Milner ,1
117,J. Pickford ,1
118,A. Bella Kotchap ,1
119,Rodrigo ,1
120,A. Elanga ,1
121,C. Coady ,1
122,R. James ,1
123,K. Lewis-Potter ,1
124,K. Mbabu ,1
125,W. Saliba ,1
126,Gonçalo Guedes ,1
127,V. Janelt ,1
128,B. Chilwell ,1
129,L. Ayling ,1
130,Y. Tielemans ,1
131,E. Mwepu ,1
132,B. De Cordova-Reid ,1
133,R. Yates ,1
134,J. Zemura ,1
135,Matheus Nunes ,1
136,J. Ayew ,1
137,C. Pulisic ,1
138,S. Gómez ,1
139,A. Mvom Onana ,1
140,M. Kovacic ,1
141,João Cancelo ,1
142,F. Onyeka ,1
143,P. Billing ,1
144,Alisson ,1
145,H. Bueno ,1
146,J. Sancho ,1
147,Ederson ,1
148,M. Elyounoussi ,1
149,H. Reed ,1
150,T. Soucek ,1
151,A. Smith ,1
152,C. Gallagher ,1
153,K. Mitoma ,1
154,Nélson Semedo ,1
155,R. Nelson ,1
156,W. Gnonto ,1
157,Boubacar Traoré ,1
158,A. Lallana ,1
159,E. Dennis ,1
160,J. Murphy ,1
161,M. Salisu ,1
162,M. Akanji ,1
163,A. Pérez ,1
164,R. Kristensen ,1
165,M. Roca ,1
166,H. Elliott ,1
167,M. Almirón ,1
168,B. Mee ,1
169,J. Veltman ,1
170,Aleksandar Mitrovic ,1
171,K. Havertz ,1
172,I. Gueye ,1
173,W. Boly ,1
174,M. Caicedo ,1
175,T. Mings ,1
176,B. Gil ,1
177,C. Summerville ,1
178,B. Kamara ,1
179,D. Gray ,1
180,H. Ziyech ,1
181,T. Tomiyasu ,1
182,Adama Traoré ,1
183,H. Barnes ,1
184,J. Sarmiento ,1
185,E. Fernández ,1
186,H. Souttar ,1
187,W. Weghorst ,1
188,Álex Moreno ,1
189,M. Cash ,1
190,Carlos Vinícius ,1
191,Fred ,1
192,R. Jiménez ,1
193,Antonee Robinson ,1
194,P. Fornals ,1
195,E. Dier ,1
196,E. Nketiah ,1
