,Name,top_chances_created
0,K. De Bruyne,75
1,K. Trippier ,70
2,Bruno Fernandes ,68
3,M. Ødegaard ,56
4,Andreas Pereira ,54
5,B. Saka ,54
6,J. Ward-Prowse ,51
7,P. Groß ,45
8,Mohamed Salah ,44
9,T. Alexander-Arnold ,44
10,H. Kane ,41
11,M. Gibbs-White ,41
12,A. Iwobi ,40
13,Gabriel Martinelli ,40
14,M. Olise ,40
15,J. Maddison ,38
16,G. Xhaka ,37
17,Son Heung-Min ,36
18,J. Harrison ,36
19,S. March ,36
20,J. Bowen ,36
21,E. Eze ,34
22,A. Robertson ,34
23,J. Grealish ,33
24,B. Aaronson ,33
25,I. Perisic ,32
26,A. Cresswell ,31
27,P. Foden ,31
28,S. Benrahma ,31
29,João Moutinho ,31
30,I. Gündogan ,30
31,K. Dewsbury-Hall ,30
32,M. Mount ,30
33,D. Rice ,30
34,M. Jensen ,29
35,D. Kulusevski ,29
36,L. Trossard ,28
37,Daniel Podence ,28
38,Rodri ,28
39,Willian ,28
40,Douglas Luiz ,27
41,D. Gray ,26
42,B. Mbeumo ,26
43,C. Eriksen ,25
44,R. Mahrez ,25
45,K. Havertz ,25
46,Bernardo Silva ,25
47,Y. Tielemans ,24
48,D. McNeil ,24
49,M. Caicedo ,24
50,R. Sterling ,23
51,E. Buendía ,23
52,T. Adams ,23
53,Diogo Dalot ,23
54,Darwin Núñez ,23
55,P. Estupiñán ,23
56,H. Reed ,22
57,Gabriel Jesus ,22
58,J. Ayew ,21
59,W. Zaha ,21
60,L. Shaw ,21
61,J. Sancho ,21
62,C. Adams ,21
63,B. Johnson ,21
64,L. Cook ,21
65,Fred ,21
66,Matheus Nunes ,21
67,P. Højbjerg ,20
68,T. Partey ,20
69,O. Watkins ,20
70,Rúben Neves ,20
71,A. Mac Allister ,20
72,I. Toney ,19
73,Joelinton ,19
74,Joe Willock ,19
75,H. Elliott ,19
76,E. Haaland ,19
77,C. Doucoure ,19
78,Roberto Firmino ,19
79,M. Rashford ,18
80,Sean Longstaff ,18
81,Bruno Guimarães ,18
82,L. Bailey ,18
83,J. Ramsey ,18
84,J. Zemura ,18
85,Thiago ,17
86,M. Almirón ,17
87,B. White ,17
88,V. Mykolenko ,17
89,M. Roca ,17
90,C. Gallagher ,17
91,Adama Traoré ,17
92,D. Welbeck ,16
93,V. Coufal ,16
94,K. Tete ,16
95,M. Elyounoussi ,16
96,Casemiro ,16
97,B. De Cordova-Reid ,15
98,B. Davies ,15
99,M. Tavernier ,15
100,Aleksandar Mitrovic ,15
101,Antonee Robinson ,15
102,Kostas Tsimikas ,15
103,W. Gnonto ,15
104,A. Lallana ,14
105,L. Digne ,14
106,T. Castagne ,14
107,P. Billing ,14
108,K. Mitoma ,14
109,R. Christie ,14
110,Lucas Paquetá ,14
111,J. Henderson ,13
112,C. Wilson ,13
113,A. Saint-Maximin ,13
114,R. Henry ,13
115,O. Zinchenko ,13
116,Rodrigo ,13
117,K. Iheanacho ,13
118,Pedro Neto ,13
119,G. Scamacca ,13
120,S. Greenwood ,13
121,F. Schär ,12
122,João Cancelo ,12
123,N. Williams ,12
124,P. Fornals ,12
125,Stuart Armstrong ,12
126,P. Struijk ,12
127,M. Antonio ,12
128,O. Edouard ,12
129,A. Mvom Onana ,12
130,R. Perraud ,12
131,H. Barnes ,12
132,C. Azpilicueta ,11
133,J. Vardy ,11
134,J. Lingard ,11
135,R. James ,11
136,N. Kebano ,11
137,A. Pérez ,11
138,A. Gordon ,11
139,H. Ziyech ,11
140,T. Soucek ,11
141,Richarlison ,11
142,M. Kovacic ,11
143,C. Pulisic ,11
144,R. Bentancur ,11
145,H. Bueno ,11
146,J. Tarkowski ,10
147,Dan Burn ,10
148,D. Ings ,10
149,Jorginho ,10
150,Adam Armstrong ,10
151,K. Walker-Peters ,10
152,J. Milner ,10
153,T. Cairney ,10
154,P. Daka ,10
155,Diogo Jota ,10
156,D. Solanke ,10
157,Ashley Young ,10
158,H. Traore ,10
159,V. Janelt ,9
160,Emerson Royal ,9
161,J. McGinn ,9
162,Gonçalo Guedes ,9
163,Nélson Semedo ,9
164,Y. Wissa ,9
165,J. Ayodele-Aribo ,9
166,P. Dasilva ,9
167,J. Álvarez ,9
168,J. Anthony ,9
169,R. Freuler ,9
170,S. Aurier ,9
171,J. Lerma ,9
172,Philippe Coutinho ,8
173,M. Cucurella ,8
174,Y. Bissouma ,8
