,Name,top_clearances
0,J. Andersen,136
1,J. Tarkowski ,133
2,E. Pinnock ,132
3,M. Kilman ,115
4,M. Salisu ,113
5,C. Mepham ,105
6,F. Schär ,91
7,T. Mings ,90
8,Thiago Silva ,89
9,M. Senesi ,88
10,R. Koch ,86
11,A. Guehi ,86
12,T. Ream ,85
13,Gabriel Magalhães ,82
14,C. Coady ,82
15,V. van Dijk ,81
16,Dan Burn ,80
17,E. Dier ,79
18,S. McKenna ,79
19,E. Konsa Ngoyo ,79
20,L. Martínez ,77
21,K. Zouma ,76
22,W. Saliba ,74
23,S. Botman ,73
24,A. Bella Kotchap ,73
25,J. Lerma ,71
26,B. Mee ,70
27,J. Worrall ,70
28,N. Collins ,70
29,V. Mykolenko ,67
30,R. Varane ,66
31,O. Adarabioyo ,63
32,Rúben Neves ,62
33,W. Faes ,59
34,T. Castagne ,58
35,L. Dunk ,57
36,D. Amartey ,57
37,K. Tete ,52
38,B. Davies ,51
39,S. Cook ,50
40,B. White ,49
41,Emerson Royal ,49
42,C. Dawson ,49
43,K. Koulibaly ,47
44,C. Romero ,47
45,L. Kelly ,47
46,João Palhinha ,47
47,J. Ward ,46
48,T. Kehrer ,46
49,Nélson Semedo ,46
50,Antonee Robinson ,45
51,P. Struijk ,44
52,I. Diop ,44
53,J. Veltman ,43
54,S. Aurier ,43
55,A. Smith ,42
56,P. Højbjerg ,42
57,L. Cooper ,42
58,D. Caleta-Car ,42
59,K. Trippier ,41
60,R. Henry ,41
61,J. Gomez ,41
62,T. Soucek ,40
63,A. Cresswell ,39
64,T. Mitchell ,39
65,C. Azpilicueta ,38
66,W. Boly ,38
67,J. Matip ,36
68,J. Justin ,36
69,I. Meslier ,36
70,Casemiro ,36
71,A. Webster ,35
72,Ashley Young ,35
73,L. Shaw ,34
74,S. McTominay ,34
75,D. Rice ,34
76,R. Yates ,34
77,T. Chalobah ,34
78,S. Coleman ,34
79,V. Coufal ,33
80,R. Kristensen ,33
81,Rúben Dias ,32
82,J. Bednarek ,32
83,Renan Lodi ,32
84,N. Aguerd ,32
85,J. Evans ,31
86,L. Digne ,31
87,G. Bazunu ,31
88,A. Ogbonna ,31
89,G. Xhaka ,30
90,Diogo Dalot ,30
91,C. Doucoure ,30
92,T. Malacia ,30
93,M. Cucurella ,30
94,J. Stephens ,29
95,Nick Pope ,29
96,P. Billing ,29
97,Joelinton ,29
98,A. Robertson ,28
99,C. Lenglet ,28
100,Bruno Fernandes ,28
101,V. Lindelöf ,28
102,N. Clyne ,27
103,J. Pickford ,27
104,T. Partey ,27
105,M. Cash ,27
106,Rodri ,27
107,N. Patterson ,27
108,M. Elyounoussi ,27
109,C. Richards ,27
110,A. Mvom Onana ,27
111,Zanka ,27
112,N. Aké ,26
113,C. Nørgaard ,26
114,M. Rasmussen ,26
115,K. Havertz ,26
116,Lyanco ,26
117,R. Freuler ,26
118,V. Guaita ,25
119,P. Jansson ,25
120,N. Williams ,25
121,J. Zemura ,25
122,H. Reed ,25
123,J. Schlupp ,25
124,D. Sánchez ,25
125,J. Ward-Prowse ,25
126,H. Maguire ,24
127,B. De Cordova-Reid ,24
128,D. Llorente ,24
129,M. Holgate ,24
130,T. Adams ,24
131,R. Ait Nouri ,24
132,Toti ,24
133,H. Bueno ,24
134,J. Ayew ,23
135,D. Solanke ,23
136,A. Ramsdale ,23
137,Fabinho ,23
138,J. Stones ,23
139,B. Badiashile ,23
140,I. Perisic ,22
141,H. Toffolo ,22
142,A. Iwobi ,22
143,K. Walker-Peters ,22
144,Matheus Nunes ,22
145,A. Maitland-Niles ,22
146,I. Konaté ,22
147,S. March ,21
148,I. Toney ,21
149,R. Bentancur ,21
150,B. Kamara ,21
151,L. Cook ,21
152,O. Ndidi ,21
153,Alisson ,21
154,R. Fredericks ,21
155,R. Perraud ,21
156,Lucas Paquetá ,21
157,J. Vardy ,20
158,D. Henderson ,20
