,Name,top_expected_assists
0,K. De Bruyne,11.00
1,Bruno Fernandes ,7.56
2,K. Trippier ,7.42
3,M. Ødegaard ,5.83
4,P. Groß ,5.10
5,Gabriel Martinelli ,5.00
6,M. Gibbs-White ,4.93
7,B. Saka ,4.83
8,T. Alexander-Arnold ,4.58
9,A. Robertson ,4.45
10,S. March ,4.25
11,Mohamed Salah ,4.20
12,J. Grealish ,4.05
13,J. Ward-Prowse ,3.97
14,I. Perisic ,3.95
15,J. Harrison ,3.85
16,J. Bowen ,3.83
17,Andreas Pereira ,3.81
18,G. Xhaka ,3.81
19,R. Mahrez ,3.76
20,D. Kulusevski ,3.68
21,I. Gündogan ,3.51
22,D. McNeil ,3.38
23,Bernardo Silva ,3.36
24,B. Mbeumo ,3.30
25,H. Elliott ,3.19
26,A. Iwobi ,3.16
27,M. Olise ,3.10
28,D. Gray ,3.09
29,P. Foden ,3.06
30,Darwin Núñez ,3.06
31,J. Maddison ,2.97
32,Rodri ,2.96
33,C. Eriksen ,2.87
34,L. Trossard ,2.86
35,K. Mitoma ,2.85
36,P. Højbjerg ,2.83
37,E. Haaland ,2.81
38,Adama Traoré ,2.79
39,R. Sterling ,2.77
40,M. Mount ,2.77
41,Son Heung-Min ,2.73
42,Casemiro ,2.68
43,B. White ,2.67
44,L. Bailey ,2.66
45,Y. Tielemans ,2.65
46,M. Jensen ,2.65
47,Joe Willock ,2.52
48,K. Dewsbury-Hall ,2.45
49,K. Havertz ,2.41
50,H. Kane ,2.40
51,O. Watkins ,2.39
52,A. Cresswell ,2.34
53,M. Rashford ,2.30
54,Sean Longstaff ,2.19
55,L. Cook ,2.15
56,W. Zaha ,2.12
57,O. Zinchenko ,2.10
58,Douglas Luiz ,2.08
59,João Moutinho ,2.07
60,E. Eze ,2.06
61,I. Toney ,2.05
62,Joelinton ,2.05
63,E. Buendía ,2.04
64,P. Estupiñán ,1.99
65,T. Castagne ,1.94
66,M. Almirón ,1.94
67,Roberto Firmino ,1.91
68,B. Aaronson ,1.88
69,Stuart Armstrong ,1.87
70,J. Sancho ,1.86
71,D. Solanke ,1.86
72,A. Mvom Onana ,1.86
73,Gabriel Jesus ,1.85
74,A. Saint-Maximin ,1.83
75,L. Shaw ,1.82
76,C. Adams ,1.74
77,Bruno Guimarães ,1.73
78,Daniel Podence ,1.71
79,J. McGinn ,1.70
80,R. Henry ,1.69
81,P. Fornals ,1.64
82,S. Benrahma ,1.62
83,S. Botman ,1.61
84,A. Mac Allister ,1.60
85,Antonee Robinson ,1.53
86,B. Davies ,1.49
87,J. Zemura ,1.49
88,T. Partey ,1.48
89,D. Welbeck ,1.48
90,C. Wilson ,1.48
91,R. Perraud ,1.47
92,M. Caicedo ,1.47
93,C. Gallagher ,1.45
94,J. Milner ,1.44
95,J. Tarkowski ,1.44
96,H. Barnes ,1.43
97,R. James ,1.43
98,K. Tete ,1.43
99,B. Johnson ,1.42
100,P. Struijk ,1.42
101,P. Dasilva ,1.38
102,A. Lallana ,1.38
103,Willian ,1.38
104,J. Ayew ,1.38
105,J. Lerma ,1.37
106,E. Nketiah ,1.36
107,M. Tavernier ,1.36
108,W. Gnonto ,1.35
109,H. Reed ,1.35
110,V. Coufal ,1.33
111,L. Digne ,1.32
112,C. Nørgaard ,1.32
113,F. Schär ,1.31
114,M. Kovacic ,1.31
115,D. Rice ,1.29
116,K. Walker-Peters ,1.28
117,João Cancelo ,1.26
118,M. Elyounoussi ,1.26
119,J. Henderson ,1.25
120,H. Ziyech ,1.24
121,P. Daka ,1.23
122,C. Doucoure ,1.23
123,Fábio Vieira ,1.20
124,J. Anthony ,1.20
125,Kostas Tsimikas ,1.18
126,Richarlison ,1.18
127,N. Williams ,1.18
128,Pedro Neto ,1.18
129,J. Murphy ,1.17
130,Diogo Dalot ,1.16
131,Aleksandar Mitrovic ,1.15
132,B. De Cordova-Reid ,1.14
133,T. Adams ,1.13
134,Thiago ,1.12
135,T. Cairney ,1.12
136,M. Cash ,1.10
137,Lucas Paquetá ,1.10
138,R. Loftus-Cheek ,1.09
139,A. Smith ,1.08
140,Jorginho ,1.08
141,A. Gordon ,1.08
142,Ryan Sessegnon ,1.08
143,Fred ,1.08
144,T. Soucek ,1.07
145,Matheus Nunes ,1.07
146,K. Iheanacho ,1.06
147,P. Billing ,1.05
148,L. Díaz ,1.05
149,S. Greenwood ,1.04
150,L. Ayling ,1.04
151,Antony ,1.03
152,J. Álvarez ,1.03
153,R. Lewis ,1.01
154,J. Ramsey ,1.01
155,L. Martínez ,1.00
156,A. Garnacho Ferreyra ,1.00
157,Rúben Neves ,1.00
158,C. Azpilicueta ,0.99
159,M. Roca ,0.97
160,A. Martial ,0.97
161,V. Mykolenko ,0.94
162,J. Stones ,0.94
163,S. Cook ,0.94
164,H. Toffolo ,0.93
165,Emerson Royal ,0.93
166,D. Ings ,0.92
167,R. Christie ,0.91
168,H. Traore ,0.90
169,Adam Armstrong ,0.90
170,S. Aurier ,0.88
171,M. Rasmussen ,0.87
172,N. Aké ,0.87
173,Diogo Jota ,0.85
174,A. Elanga ,0.84
175,W. Weghorst ,0.84
176,R. Ait Nouri ,0.84
177,T. Lamptey ,0.83
178,Rodrigo ,0.83
179,Philippe Coutinho ,0.82
180,T. Mitchell ,0.81
181,I. Gueye ,0.80
182,A. Pérez ,0.80
183,Y. Wissa ,0.79
184,M. Cucurella ,0.79
185,J. Veltman ,0.78
186,Fabinho ,0.77
187,Nélson Semedo ,0.75
188,J. Gomez ,0.75
189,V. Janelt ,0.74
190,R. Kristensen ,0.74
191,C. Lenglet ,0.74
192,T. Mings ,0.73
193,B. Mee ,0.73
194,Hwang Hee-Chan ,0.73
195,Thiago Silva ,0.73
196,E. Anderson ,0.71
197,H. Bueno ,0.71
198,O. Edouard ,0.70
199,N. Kebano ,0.69
200,M. Antonio ,0.69
201,F. Onyeka ,0.68
202,B. Kamara ,0.67
203,L. Sinisterra ,0.67
204,Ashley Young ,0.67
205,J. Vardy ,0.66
206,S. Coleman ,0.66
207,R. Bentancur ,0.65
208,R. Freuler ,0.65
209,P. Sarabia ,0.64
210,J. Andersen ,0.64
211,P. Bamford ,0.62
212,Renan Lodi ,0.62
213,Matt Targett ,0.61
214,C. Romero ,0.61
215,C. Coady ,0.61
216,V. van Dijk ,0.61
217,A. Wan-Bissaka ,0.61
218,Jonny ,0.58
219,D. Undav ,0.58
220,J. Schlupp ,0.58
221,Gonçalo Guedes ,0.58
222,K. Moore ,0.57
223,G. Scamacca ,0.57
224,S. McTominay ,0.57
225,E. Dier ,0.57
226,D. Ouattara ,0.57
227,J. Ayodele-Aribo ,0.56
228,Carlos Vinícius ,0.56
229,M. Albrighton ,0.55
230,N. Patterson ,0.55
231,E. Konsa Ngoyo ,0.54
232,M. Salisu ,0.54
233,M. Damsgaard ,0.54
234,J. Pickford ,0.54
235,J. Worrall ,0.54
236,C. Summerville ,0.54
237,L. Dunk ,0.53
238,S. Bajcetic ,0.53
239,A. Maitland-Niles ,0.52
240,Gabriel Magalhães ,0.52
241,J. Rothwell ,0.52
242,J. Matip ,0.50
243,João Félix ,0.50
244,S. Baptiste ,0.50
245,D. Amartey ,0.50
246,D. James ,0.50
247,T. Malacia ,0.49
248,R. Jiménez ,0.49
249,A. Doucouré ,0.49
250,J. Justin ,0.49
251,L. Thomas ,0.48
252,K. Koulibaly ,0.48
253,E. Ferguson ,0.48
254,E. Pinnock ,0.46
255,B. Johnson ,0.46
256,J. Lingard ,0.45
257,D. Raya Martin ,0.45
258,E. Fernández ,0.44
259,L. Kelly ,0.43
260,S. McKenna ,0.42
261,T. Davies ,0.42
262,W. Faes ,0.42
263,Emerson ,0.41
264,Diego Costa ,0.40
265,J. Firpo ,0.40
266,K. Walker ,0.40
267,M. Mudryk ,0.40
268,N. Clyne ,0.40
269,E. Martínez ,0.39
270,Dan Burn ,0.39
271,K. Mbabu ,0.39
272,A. Webster ,0.39
273,G. Bazunu ,0.39
274,R. Yates ,0.39
275,T. Awoniyi ,0.38
276,S. Edozie ,0.37
277,M. Djenepo ,0.36
278,C. Kouyaté ,0.36
279,C. Pulisic ,0.36
280,R. Koch ,0.36
281,M. Akanji ,0.36
282,W. Saliba ,0.35
283,B. Chilwell ,0.34
284,P. Jansson ,0.34
285,T. Kehrer ,0.34
286,N. Aguerd ,0.34
287,C. Wood ,0.33
288,A. Guehi ,0.33
289,M. Senesi ,0.33
290,C. Palmer ,0.33
291,João Palhinha ,0.32
292,T. Ream ,0.32
293,I. Konaté ,0.32
294,W. Boly ,0.32
295,K. Lewis-Potter ,0.31
296,A. Laporte ,0.31
297,S. Mara ,0.31
298,S. Gómez ,0.31
299,R. Varane ,0.31
300,Álex Moreno ,0.31
301,Cristiano Ronaldo ,0.31
302,R. Fredericks ,0.31
303,Y. Bissouma ,0.31
304,N. Kanté ,0.31
305,N. Collins ,0.30
306,M. Kilman ,0.30
307,M. Doherty ,0.30
308,K. Tierney ,0.30
309,V. Kristiansen ,0.30
310,C. Jones ,0.30
311,Ederson ,0.29
312,N. Keita ,0.29
313,R. Fraser ,0.29
314,T. Walcott ,0.28
315,P. Aubameyang ,0.28
316,C. Mepham ,0.28
317,D. Calvert-Lewin ,0.27
318,E. Mwepu ,0.27
319,S. Dembélé ,0.27
320,A. Bella Kotchap ,0.27
321,E. Smith Rowe ,0.26
322,E. Simms ,0.26
323,L. Samuels Colwill ,0.25
324,J. Gelhardt ,0.25
325,J. Ward ,0.25
326,M. Lemina ,0.25
327,Rúben Dias ,0.25
328,Fábio Carvalho ,0.25
329,M. Sabitzer ,0.25
330,D. Caleta-Car ,0.25
331,E. Dennis ,0.25
332,B. Gilmour ,0.25
333,H. Wilson ,0.25
334,R. Lavia ,0.24
335,J. Sarmiento ,0.23
336,Lewis Hall ,0.23
337,A. Oxlade-Chamberlain ,0.23
338,T. Tomiyasu ,0.23
339,R. Nelson ,0.22
340,K. Sulemana ,0.22
341,M. Wöber ,0.22
342,C. Dawson ,0.22
343,L. Cooper ,0.22
344,C. Gakpo ,0.21
345,L. O'Brien ,0.21
346,O. Skipp ,0.21
347,D. Sánchez ,0.20
348,N. Maupay ,0.20
349,O. Ndidi ,0.19
350,M. Holgate ,0.19
351,J. Stephens ,0.19
352,I. Diop ,0.19
353,M. Klich ,0.19
354,B. Soumaré ,0.19
355,L. Milivojevic ,0.18
356,A. Isak ,0.18
357,N. Madueke ,0.18
358,D. van de Beek ,0.18
359,J. Evans ,0.18
360,J. Colback ,0.18
361,W. McKennie ,0.18
362,A. Forshaw ,0.18
363,J. Shelvey ,0.17
364,J. Bednarek ,0.17
365,J. Mateta ,0.16
366,O. Romeu ,0.16
367,O. Adarabioyo ,0.16
368,L. Dendoncker ,0.15
369,Zanka ,0.15
370,B. Leno ,0.15
371,A. Hickey ,0.15
372,B. Badiashile ,0.14
373,A. Ramsdale ,0.14
374,J. Bree ,0.14
375,S. Rondón ,0.14
376,A. Lokonga ,0.13
377,Alisson ,0.13
378,T. Chalobah ,0.13
379,D. de Gea ,0.13
380,D. Praet ,0.12
381,D. Henderson ,0.12
382,H. Lloris ,0.11
383,W. Hughes ,0.11
384,K. Zouma ,0.11
385,M. Solomon ,0.10
386,C. Chukwuemeka ,0.10
387,I. Diallo ,0.10
388,I. Meslier ,0.10
389,R. Sánchez ,0.10
390,Wesley Fofana ,0.10
391,Nick Pope ,0.10
392,L. Kurzawa ,0.09
393,K. Ajer ,0.09
394,O. Mangala ,0.09
395,J. Enciso ,0.09
396,A. Ogbonna ,0.09
397,J. Stanislas ,0.09
398,L. Fabianski ,0.09
399,Matheus Cunha ,0.09
400,B. Gil ,0.09
401,Lucas Moura ,0.09
402,S. Ghoddos ,0.08
403,D. Ward ,0.08
404,G. Rutter ,0.08
405,N. Mendy ,0.08
406,V. Guaita ,0.08
407,H. Souttar ,0.08
408,Lyanco ,0.08
409,José Sá ,0.08
410,E. Onuachu ,0.07
411,D. Zakaria ,0.07
412,Boubacar Traoré ,0.07
413,Neto ,0.07
414,A. Broja ,0.07
415,D. Llorente ,0.06
416,J. Hodge ,0.06
417,Gustavo Scarpa ,0.06
418,S. Lukic ,0.06
419,Tetê ,0.06
420,M. Lanzini ,0.06
421,H. Maguire ,0.06
422,K. Mainoo ,0.05
423,C. Alcaraz ,0.05
424,Kepa A. ,0.05
425,M. Travers ,0.05
426,B. Godfrey ,0.05
427,B. Pearson ,0.05
428,V. Lindelöf ,0.04
429,B. Clark ,0.04
430,Mohamed Elneny ,0.04
431,H. White ,0.04
432,J. Stansfield ,0.04
433,Danilo ,0.04
434,E. Mendy ,0.04
435,O. Hutchinson ,0.04
436,P. Sarr ,0.03
437,P. Porro ,0.03
438,F. Downes ,0.03
439,J. van Hecke ,0.03
440,Toti ,0.03
441,Felipe ,0.03
442,Y. Mina ,0.03
443,Diego Carlos ,0.03
444,J. Durán ,0.03
445,K. Schade ,0.03
446,J. Tanganga ,0.03
447,J. Garner ,0.03
448,J. Stacey ,0.02
449,Juan Larios ,0.02
450,S. Surridge ,0.02
451,F. Buonanotte ,0.02
452,C. Richards ,0.02
453,I. Price ,0.02
454,A. Semenyo ,0.02
455,K. Navas ,0.02
456,S. Canós ,0.02
457,K. Phillips ,0.02
458,C. Chambers ,0.02
459,David Datro Fofana ,0.02
460,A. Danjuma Groeneveld ,0.02
461,L. Brunt ,0.02
462,R. Olsen ,0.02
463,L. Augustinsson ,0.01
464,J. Tomkins ,0.01
465,N. Phillips ,0.01
466,C. Drameh ,0.01
467,C. Archer ,0.01
468,Cafú ,0.01
469,Ç. Söyüncü ,0.01
470,M. Keane ,0.01
471,M. Ebiowei ,0.01
472,M. Bech Sørensen ,0.01
473,M. Cornet ,0.01
474,M. Niakhaté ,0.01
475,F. Forster ,0.01
476,N. Ahamada ,0.01
477,W. Hennessey ,0.01
478,D. Gyabi ,0.01
479,M. Rodák ,0.01
480,Matt Ritchie ,0.01
481,M. Perrone ,0.01
482,A. Areola ,0.00
483,Cédric Soares ,0.00
484,C. Campbell ,0.00
485,J. Lowe ,0.00
486,L. Harris ,0.00
487,J. Riedewald ,0.00
488,J. Lascelles ,0.00
489,João Gomes ,0.00
490,D. Lembikisa ,0.00
491,T. Cannon ,0.00
492,D. Spence ,0.00
493,A. Begovic ,0.00
494,J. Onomah ,0.00
495,F. Pellistri ,0.00
496,B. Doak ,0.00
497,M. Dubravka ,0.00
498,A. Ayew ,0.00
499,Y. Valery ,0.00
500,Dele Alli ,0.00
501,N. Chalobah ,0.00
502,Rúben Vinagre ,0.00
503,G. Biancone ,0.00
504,C. Ronan ,0.00
505,M. Viña ,0.00
506,E. Camargo Hansen ,0.00
507,A. Mighten ,0.00
508,J. Lewis ,0.00
509,J. Manquillo ,0.00
510,M. Sanson ,0.00
511,D. Ozoh ,0.00
512,R. Holding ,0.00
