,Name,top_fouls_won
0,W. Zaha,57
1,J. Ayew ,53
2,J. Grealish ,52
3,I. Toney ,47
4,J. Bowen ,46
5,B. Saka ,43
6,Bruno Guimarães ,42
7,B. Aaronson ,42
8,R. Yates ,42
9,E. Konsa Ngoyo ,39
10,A. Mvom Onana ,39
11,J. Maddison ,38
12,Gabriel Jesus ,38
13,I. Gueye ,36
14,H. Kane ,35
15,E. Eze ,34
16,João Palhinha ,33
17,M. Olise ,33
18,G. Xhaka ,31
19,S. March ,31
20,D. Solanke ,31
21,Aleksandar Mitrovic ,31
22,J. Justin ,29
23,Gabriel Magalhães ,29
24,J. Ramsey ,29
25,R. Loftus-Cheek ,28
26,K. Moore ,28
27,Bruno Fernandes ,28
28,D. Gray ,28
29,R. Lavia ,28
30,Jorginho ,27
31,J. McGinn ,27
32,J. Lerma ,27
33,K. Tete ,27
34,A. Mac Allister ,27
35,Sean Longstaff ,27
36,Adama Traoré ,27
37,Matheus Nunes ,27
38,M. Antonio ,26
39,P. Højbjerg ,26
40,R. Christie ,26
41,M. Almirón ,26
42,M. Tavernier ,26
43,Gabriel Martinelli ,26
44,M. Caicedo ,26
45,M. Mount ,26
46,W. Gnonto ,26
47,Thiago ,25
48,Son Heung-Min ,25
49,K. Walker-Peters ,25
50,Emerson Royal ,25
51,P. Billing ,25
52,J. Veltman ,25
53,Andreas Pereira ,25
54,J. Harrison ,24
55,R. Mahrez ,24
56,Gonçalo Guedes ,24
57,E. Nketiah ,24
58,Renan Lodi ,24
59,H. Elliott ,23
60,O. Watkins ,23
61,A. Bella Kotchap ,23
62,J. Schlupp ,23
63,H. Barnes ,23
64,A. Guehi ,23
65,C. Summerville ,23
66,E. Buendía ,22
67,B. Kamara ,22
68,Douglas Luiz ,22
69,C. Gallagher ,22
70,S. Edozie ,22
71,R. Sterling ,21
72,Joelinton ,21
73,R. Henry ,21
74,T. Adams ,21
75,L. Digne ,20
76,K. Dewsbury-Hall ,20
77,K. Trippier ,20
78,L. Ayling ,20
79,B. De Cordova-Reid ,19
80,L. Trossard ,19
81,Daniel Podence ,19
82,P. Foden ,19
83,K. De Bruyne ,19
84,M. Gibbs-White ,19
85,Casemiro ,19
86,L. Shaw ,18
87,B. White ,18
88,A. Gordon ,18
89,João Cancelo ,18
90,C. Adams ,18
91,A. Hickey ,18
92,C. Wilson ,18
93,Mohamed Salah ,18
94,N. Maupay ,18
95,Lucas Paquetá ,18
96,M. Ødegaard ,17
97,Willian ,17
98,E. Dennis ,17
99,Jonny ,16
100,F. Schär ,16
101,M. Rashford ,16
102,P. Dasilva ,16
103,E. Haaland ,16
104,L. Díaz ,16
105,D. James ,16
106,Richarlison ,16
107,S. Aurier ,16
108,A. Smith ,15
109,V. Janelt ,15
110,N. Williams ,15
111,K. Havertz ,15
112,M. Roca ,15
113,L. O'Brien ,15
114,M. Djenepo ,15
115,J. Tarkowski ,15
116,I. Gündogan ,15
117,N. Kebano ,15
118,V. Mykolenko ,15
119,M. Cucurella ,15
120,Y. Tielemans ,14
121,C. Pulisic ,14
122,L. Bailey ,14
123,T. Lamptey ,14
124,L. Dunk ,14
125,Stuart Armstrong ,14
126,H. Reed ,14
127,Nélson Semedo ,14
128,B. Mbeumo ,14
129,D. Kulusevski ,14
130,Philippe Coutinho ,14
131,T. Mings ,14
132,J. Zemura ,14
133,Antonee Robinson ,14
134,Fabinho ,13
135,B. Chilwell ,13
136,W. Saliba ,13
137,J. Ward-Prowse ,13
138,V. Coufal ,13
139,M. Elyounoussi ,13
