,Name,top_interceptions
0,I. Gueye,41
1,C. Doucoure ,40
2,T. Ream ,38
3,F. Schär ,37
4,D. Rice ,37
5,P. Højbjerg ,36
6,Rúben Neves ,35
7,R. Koch ,34
8,T. Soucek ,34
9,A. Bella Kotchap ,34
10,T. Mings ,33
11,João Palhinha ,33
12,J. Tarkowski ,32
13,B. Mee ,32
14,V. Mykolenko ,32
15,J. Ward-Prowse ,31
16,M. Caicedo ,31
17,Thiago Silva ,29
18,T. Adams ,29
19,N. Williams ,29
20,M. Salisu ,29
21,Antonee Robinson ,29
22,K. Trippier ,28
23,E. Dier ,28
24,Joelinton ,28
25,Douglas Luiz ,28
26,Rodri ,27
27,K. Tete ,27
28,A. Guehi ,26
29,L. Martínez ,26
30,P. Struijk ,26
31,W. Faes ,26
32,I. Diop ,26
33,L. Shaw ,25
34,J. Lerma ,25
35,V. Coufal ,25
36,T. Alexander-Arnold ,25
37,Jorginho ,25
38,M. Senesi ,25
39,R. Freuler ,25
40,L. Cooper ,25
41,Diogo Dalot ,24
42,C. Nørgaard ,23
43,M. Cash ,23
44,C. Romero ,23
45,L. Dunk ,23
46,T. Kehrer ,23
47,M. Jensen ,23
48,Fabinho ,22
49,J. Bowen ,22
50,T. Mitchell ,22
51,A. Mvom Onana ,22
52,P. Estupiñán ,22
53,Casemiro ,22
54,L. Thomas ,22
55,J. Schlupp ,21
56,T. Castagne ,21
57,Bruno Guimarães ,21
58,R. Kristensen ,21
59,Gabriel Magalhães ,21
60,A. Mac Allister ,21
61,J. Gomez ,21
62,A. Cresswell ,20
63,T. Partey ,20
64,P. Billing ,20
65,J. Andersen ,20
66,R. Bentancur ,20
67,C. Mepham ,20
68,N. Collins ,20
69,V. van Dijk ,20
70,K. Koulibaly ,19
71,João Cancelo ,19
72,K. Dewsbury-Hall ,19
73,M. Roca ,19
74,Dan Burn ,19
75,S. Botman ,19
76,Y. Tielemans ,19
77,Nélson Semedo ,19
78,Renan Lodi ,19
79,S. Aurier ,19
80,N. Clyne ,18
81,Thiago ,18
82,J. Bednarek ,18
83,E. Konsa Ngoyo ,18
84,O. Ndidi ,18
85,S. March ,18
86,W. Saliba ,18
87,R. Christie ,18
88,S. Coleman ,18
89,L. Cook ,17
90,Wesley Fofana ,17
91,R. Lavia ,17
92,T. Malacia ,17
93,V. Janelt ,17
94,B. De Cordova-Reid ,16
95,M. Kilman ,16
96,R. Henry ,16
97,I. Perisic ,16
98,J. Evans ,16
99,J. Worrall ,16
100,R. Perraud ,16
101,B. Soumaré ,16
102,E. Pinnock ,16
103,C. Azpilicueta ,15
104,L. Digne ,15
105,A. Webster ,15
106,J. Veltman ,15
107,J. McGinn ,15
108,N. Aké ,15
109,D. Llorente ,15
110,L. Dendoncker ,15
111,A. Iwobi ,15
112,O. Zinchenko ,15
113,J. Justin ,15
114,B. Kamara ,15
115,J. Ramsey ,15
116,D. McNeil ,15
117,M. Elyounoussi ,15
118,Bruno Fernandes ,15
119,B. Davies ,15
120,J. Ward ,15
121,J. Zemura ,15
122,I. Gündogan ,15
123,Ashley Young ,15
124,A. Smith ,14
125,H. Reed ,14
126,A. Robertson ,14
127,Zanka ,14
128,João Moutinho ,14
129,C. Coady ,14
130,T. Chalobah ,14
131,E. Buendía ,14
132,L. Ayling ,14
133,Fred ,13
134,K. Zouma ,13
135,O. Adarabioyo ,13
136,Jonny ,13
137,B. White ,13
138,L. Kelly ,13
139,Rúben Dias ,13
140,Joe Willock ,13
141,Lyanco ,13
142,B. Saka ,13
143,T. Tomiyasu ,13
144,Sean Longstaff ,13
145,W. Zaha ,13
146,D. Caleta-Car ,13
147,A. Wan-Bissaka ,13
148,J. Henderson ,12
149,K. Walker-Peters ,12
150,Bernardo Silva ,12
151,Emerson Royal ,12
152,C. Gallagher ,12
153,S. Cook ,12
154,M. Kovacic ,12
155,C. Lenglet ,12
156,W. Boly ,12
157,J. Matip ,11
158,S. McKenna ,11
159,P. Fornals ,11
160,M. Gibbs-White ,11
161,M. Djenepo ,11
162,H. Elliott ,11
163,A. Hickey ,11
164,N. Patterson ,11
165,O. Mangala ,11
166,M. Cucurella ,11
167,J. Ayew ,11
168,B. Chilwell ,11
169,M. Akanji ,11
170,Matheus Nunes ,11
171,Felipe ,11
172,G. Xhaka ,10
173,J. Milner ,10
174,P. Groß ,10
175,R. Varane ,10
176,D. Gray ,10
177,D. Sánchez ,10
178,M. Olise ,10
179,Lucas Paquetá ,10
180,I. Konaté ,10
181,A. Maitland-Niles ,10
182,N. Aguerd ,10
183,Lewis Hall ,10
184,I. Toney ,9
185,S. McTominay ,9
186,R. James ,9
187,R. Loftus-Cheek ,9
188,K. Tierney ,9
189,Y. Bissouma ,9
190,J. Maddison ,9
191,R. Ait Nouri ,9
192,V. Lindelöf ,9
193,N. Mendy ,9
194,H. Bueno ,9
195,C. Dawson ,9
196,A. Ogbonna ,9
197,M. Wöber ,9
198,J. Ayodele-Aribo ,8
199,Gabriel Jesus ,8
200,J. Harrison ,8
201,K. Walker ,8
202,Gabriel Martinelli ,8
203,P. Jansson ,8
204,C. Eriksen ,8
205,C. Richards ,8
206,D. Amartey ,8
207,M. Mount ,8
208,O. Watkins ,8
209,A. Lokonga ,8
210,Willian ,8
211,M. Doherty ,8
212,J. Firpo ,8
213,W. Hughes ,8
214,E. Fernández ,8
215,H. Maguire ,7
216,L. Trossard ,7
217,M. Almirón ,7
218,Son Heung-Min ,7
219,Emerson ,7
220,R. Yates ,7
221,E. Eze ,7
222,T. Lamptey ,7
223,Matt Targett ,7
224,K. Ajer ,7
225,Boubacar Traoré ,7
226,K. Mitoma ,7
227,M. Rasmussen ,7
228,A. Doucouré ,7
229,H. Toffolo ,6
230,M. Holgate ,6
231,I. Diallo ,6
232,Ryan Sessegnon ,6
233,B. Johnson ,6
234,L. Milivojevic ,6
235,L. Sinisterra ,6
236,Kostas Tsimikas ,6
237,Roberto Firmino ,6
238,L. Samuels Colwill ,6
239,C. Chambers ,6
240,H. Barnes ,6
241,J. Anthony ,6
242,S. Edozie ,6
243,S. Benrahma ,6
244,S. Bajcetic ,6
245,K. Havertz ,6
246,W. Weghorst ,6
247,J. Lingard ,5
248,M. Rashford ,5
249,Y. Wissa ,5
250,L. O'Brien ,5
251,Fábio Carvalho ,5
252,J. Stacey ,5
253,Daniel Podence ,5
254,S. Baptiste ,5
255,F. Onyeka ,5
256,R. Mahrez ,5
257,M. Tavernier ,5
258,C. Kouyaté ,5
259,K. De Bruyne ,5
260,J. Stones ,5
261,J. Grealish ,5
262,A. Gordon ,5
263,C. Summerville ,5
264,P. Sarr ,5
265,B. Badiashile ,5
266,D. Ouattara ,5
267,M. Sabitzer ,5
268,W. McKennie ,5
269,M. Lemina ,5
270,Philippe Coutinho ,4
271,Mohamed Salah ,4
272,A. Saint-Maximin ,4
273,B. Mbeumo ,4
274,Stuart Armstrong ,4
275,T. Davies ,4
276,Andreas Pereira ,4
277,J. Sancho ,4
278,G. Scamacca ,4
279,Richarlison ,4
280,H. Ziyech ,4
281,L. Bailey ,4
282,C. Adams ,4
283,Fábio Vieira ,4
284,Antony ,4
285,J. Garner ,4
286,D. Praet ,4
287,A. Garnacho Ferreyra ,4
288,C. Chukwuemeka ,4
289,J. van Hecke ,4
290,J. Bree ,4
291,O. Skipp ,4
292,D. Welbeck ,3
293,J. Colback ,3
294,Rodrigo ,3
295,N. Kanté ,3
296,Aleksandar Mitrovic ,3
297,P. Foden ,3
298,P. Daka ,3
299,Pedro Neto ,3
300,P. Dasilva ,3
301,J. Mateta ,3
302,D. James ,3
303,B. Johnson ,3
304,D. Kulusevski ,3
305,Adam Armstrong ,3
306,M. Antonio ,3
307,R. Lewis ,3
308,K. Mbabu ,3
309,Juan Larios ,3
310,M. Damsgaard ,3
311,M. Ødegaard ,3
312,N. Maupay ,3
313,O. Edouard ,3
314,F. Downes ,3
315,H. Wilson ,3
316,R. Sánchez ,3
317,Darwin Núñez ,3
318,T. Walcott ,3
319,S. Ghoddos ,3
320,J. Tomkins ,3
321,W. Gnonto ,3
322,D. Zakaria ,3
323,Matheus Cunha ,3
324,H. Souttar ,3
325,A. Lallana ,2
326,J. Stephens ,2
327,B. Pearson ,2
328,Y. Mina ,2
329,C. Pulisic ,2
330,J. Pickford ,2
331,J. Murphy ,2
332,Lucas Moura ,2
333,N. Phillips ,2
334,L. Díaz ,2
335,A. Elanga ,2
336,J. Vardy ,2
337,S. Gómez ,2
338,D. Solanke ,2
339,E. Anderson ,2
340,E. Haaland ,2
341,P. Aubameyang ,2
342,L. Kurzawa ,2
343,Diogo Jota ,2
344,T. Cairney ,2
345,A. Laporte ,2
346,Toti ,2
347,C. Wood ,2
348,A. Pérez ,2
349,Diego Costa ,2
350,Adama Traoré ,2
351,B. Godfrey ,2
352,N. Keita ,2
353,J. Rothwell ,2
354,M. Solomon ,2
355,C. Gakpo ,2
356,H. Traore ,2
357,G. Rutter ,2
358,J. Tanganga ,2
359,P. Porro ,2
360,Álex Moreno ,2
361,K. Phillips ,2
362,O. Romeu ,1
363,M. Niakhaté ,1
364,M. Bech Sørensen ,1
365,Diego Carlos ,1
366,T. Awoniyi ,1
367,E. Nketiah ,1
368,B. Aaronson ,1
369,C. Wilson ,1
370,E. Mwepu ,1
371,I. Meslier ,1
372,J. Stansfield ,1
373,E. Martínez ,1
374,A. Isak ,1
375,S. Kalajdzic ,1
376,K. Lewis-Potter ,1
377,C. Drameh ,1
378,Cristiano Ronaldo ,1
379,C. Palmer ,1
380,R. Sterling ,1
381,G. Biancone ,1
382,S. Dembélé ,1
383,C. Jones ,1
384,D. Ings ,1
385,S. Greenwood ,1
386,C. Campbell ,1
387,J. Shelvey ,1
388,G. Bazunu ,1
389,N. Kebano ,1
390,A. Broja ,1
391,H. Kane ,1
392,Gonçalo Guedes ,1
393,D. Undav ,1
394,J. Sarmiento ,1
395,A. Martial ,1
396,Hwang Hee-Chan ,1
397,M. Albrighton ,1
398,D. van de Beek ,1
399,B. Gil ,1
400,H. Lloris ,1
401,O. Hutchinson ,1
402,D. Calvert-Lewin ,1
403,E. Ferguson ,1
404,A. Oxlade-Chamberlain ,1
405,K. Moore ,1
406,Tetê ,1
407,B. Gilmour ,1
408,Ç. Söyüncü ,1
409,C. Alcaraz ,1
410,A. Semenyo ,1
411,Ederson ,1
412,J. Durán ,1
413,Danilo ,1
414,Matt Ritchie ,1
415,S. Lukic ,1
416,V. Kristiansen ,1
417,M. Keane ,1
