,Name,top_shots_on_target
0,E. Haaland,43
1,H. Kane ,42
2,M. Rashford ,31
3,Mohamed Salah ,30
4,Darwin Núñez ,30
5,Aleksandar Mitrovic ,30
6,I. Toney ,28
7,Son Heung-Min ,27
8,O. Watkins ,27
9,H. Barnes ,24
10,Gabriel Martinelli ,23
11,Rodrigo ,21
12,S. March ,21
13,B. Saka ,21
14,L. Trossard ,20
15,Gabriel Jesus ,20
16,Roberto Firmino ,20
17,C. Wilson ,19
18,M. Ødegaard ,19
19,A. Mac Allister ,19
20,Bruno Fernandes ,19
21,B. Mbeumo ,18
22,K. De Bruyne ,18
23,B. Johnson ,18
24,D. Solanke ,17
25,M. Almirón ,17
26,K. Havertz ,17
27,D. Gray ,17
28,W. Zaha ,17
29,D. Ings ,16
30,J. Maddison ,16
31,A. Gordon ,16
32,P. Foden ,16
33,S. Benrahma ,14
34,Daniel Podence ,14
35,E. Nketiah ,14
36,Andreas Pereira ,14
37,J. Bowen ,14
38,Antony ,14
39,Joelinton ,13
40,M. Gibbs-White ,13
41,I. Gündogan ,13
42,C. Adams ,13
43,D. Welbeck ,13
44,L. Bailey ,13
45,N. Maupay ,13
46,J. Ward-Prowse ,12
47,P. Bamford ,12
48,R. Sterling ,12
49,E. Eze ,11
50,Rúben Neves ,11
51,J. Álvarez ,11
52,P. Billing ,11
53,P. Daka ,11
54,K. Mitoma ,11
55,M. Tavernier ,11
56,Willian ,11
57,P. Groß ,10
58,O. Edouard ,10
59,R. Mahrez ,10
60,Adam Armstrong ,10
61,Rodri ,10
62,J. Anthony ,10
63,G. Scamacca ,10
64,C. Eriksen ,9
65,B. De Cordova-Reid ,9
66,F. Schär ,9
67,Y. Tielemans ,9
68,M. Mount ,9
69,Joe Willock ,9
70,H. Elliott ,9
71,M. Antonio ,9
72,R. Bentancur ,9
73,A. Isak ,9
74,Lucas Paquetá ,9
75,A. Saint-Maximin ,8
76,J. Ayodele-Aribo ,8
77,E. Buendía ,8
78,Y. Wissa ,8
79,T. Awoniyi ,8
80,P. Højbjerg ,8
81,Philippe Coutinho ,8
82,C. Nørgaard ,8
83,João Palhinha ,8
84,M. Elyounoussi ,8
85,Diego Costa ,8
86,C. Summerville ,8
87,João Félix ,8
88,J. Tarkowski ,7
89,J. Ramsey ,7
90,D. Kulusevski ,7
91,L. Díaz ,7
92,J. Harrison ,7
93,V. van Dijk ,7
94,J. Vardy ,7
95,A. Iwobi ,7
96,Bernardo Silva ,7
97,J. Andersen ,7
98,Richarlison ,7
99,K. Iheanacho ,7
100,J. Grealish ,7
101,A. Garnacho Ferreyra ,7
102,E. Ferguson ,7
103,W. Gnonto ,7
104,K. Moore ,6
105,J. Lerma ,6
106,Ryan Sessegnon ,6
107,O. Zinchenko ,6
108,M. Roca ,6
109,Cristiano Ronaldo ,6
110,D. Rice ,6
111,T. Soucek ,6
112,Gonçalo Guedes ,6
113,J. Ayew ,6
114,J. Mateta ,6
115,J. Sancho ,6
116,P. Struijk ,6
117,Gabriel Magalhães ,6
118,J. Schlupp ,6
119,M. Olise ,6
120,Douglas Luiz ,6
121,Emerson Royal ,6
122,Sean Longstaff ,6
123,Matheus Nunes ,6
124,A. Martial ,6
125,C. Gallagher ,6
126,J. McGinn ,6
127,J. Enciso ,6
