,Name,top_shots
0,H. Kane,89
1,E. Haaland ,83
2,Aleksandar Mitrovic ,82
3,Mohamed Salah ,75
4,Darwin Núñez ,71
5,M. Rashford ,66
6,I. Toney ,62
7,B. Saka ,62
8,M. Ødegaard ,59
9,Gabriel Martinelli ,58
10,K. De Bruyne ,55
11,J. Bowen ,54
12,Rodrigo ,53
13,Son Heung-Min ,52
14,Bruno Fernandes ,51
15,J. Maddison ,51
16,S. March ,50
17,Gabriel Jesus ,50
18,O. Watkins ,49
19,M. Almirón ,49
20,H. Barnes ,49
21,L. Trossard ,45
22,Rúben Neves ,45
23,C. Wilson ,43
24,S. Benrahma ,43
25,M. Gibbs-White ,43
26,D. Solanke ,42
27,A. Mac Allister ,42
28,W. Zaha ,41
29,K. Havertz ,41
30,D. Gray ,40
31,E. Nketiah ,40
32,E. Eze ,40
33,Rodri ,39
34,I. Gündogan ,38
35,L. Bailey ,38
36,B. Mbeumo ,38
37,B. Johnson ,37
38,C. Adams ,36
39,F. Schär ,35
40,Lucas Paquetá ,35
41,Andreas Pereira ,34
42,D. Ings ,33
43,Roberto Firmino ,33
44,Joelinton ,33
45,Daniel Podence ,33
46,Antony ,33
47,D. Welbeck ,32
48,M. Mount ,32
49,Joe Willock ,32
50,E. Buendía ,31
51,P. Foden ,31
52,B. Aaronson ,31
53,G. Scamacca ,30
54,João Palhinha ,30
55,A. Gordon ,29
56,M. Elyounoussi ,29
57,R. Mahrez ,28
58,P. Bamford ,28
59,J. Ward-Prowse ,27
60,M. Tavernier ,27
61,D. Rice ,27
62,N. Maupay ,27
63,G. Xhaka ,26
64,B. De Cordova-Reid ,26
65,R. Sterling ,26
66,P. Højbjerg ,26
67,O. Edouard ,26
68,Cristiano Ronaldo ,25
69,M. Antonio ,25
70,J. Grealish ,25
71,H. Elliott ,25
72,J. Álvarez ,25
73,M. Olise ,25
74,R. Yates ,25
75,Y. Tielemans ,24
76,T. Alexander-Arnold ,24
77,R. Perraud ,24
78,C. Doucoure ,24
79,A. Mvom Onana ,24
80,Willian ,24
81,C. Eriksen ,23
82,Fred ,23
83,J. McGinn ,23
84,J. Mateta ,23
85,D. Kulusevski ,23
86,Matheus Nunes ,23
87,A. Iwobi ,22
88,T. Partey ,22
89,K. Iheanacho ,22
90,P. Groß ,21
91,Philippe Coutinho ,21
92,P. Billing ,21
93,N. Williams ,21
94,T. Soucek ,21
95,Y. Wissa ,21
96,J. Harrison ,21
97,Gabriel Magalhães ,21
98,Diego Costa ,21
99,J. Tarkowski ,20
100,V. van Dijk ,20
101,J. Lerma ,20
102,Adam Armstrong ,20
103,Bernardo Silva ,20
104,A. Saint-Maximin ,20
105,Sean Longstaff ,20
106,Douglas Luiz ,20
107,C. Summerville ,20
108,O. Zinchenko ,19
109,T. Awoniyi ,19
110,P. Daka ,19
111,D. McNeil ,19
112,Gonçalo Guedes ,19
113,K. Mitoma ,19
114,J. Schlupp ,18
115,Ryan Sessegnon ,18
116,Richarlison ,18
117,J. Anthony ,18
118,João Cancelo ,17
119,K. Moore ,17
120,R. Christie ,17
121,K. Dewsbury-Hall ,17
122,P. Fornals ,17
123,Casemiro ,17
124,W. Gnonto ,17
125,Stuart Armstrong ,16
126,J. Vardy ,16
127,Diogo Dalot ,16
128,M. Roca ,16
129,L. Díaz ,16
130,M. Salisu ,16
131,H. Reed ,16
132,D. Calvert-Lewin ,16
133,I. Perisic ,15
134,B. Mee ,15
135,E. Dier ,15
136,A. Webster ,15
137,C. Pulisic ,15
138,R. Bentancur ,15
139,Emerson Royal ,15
140,M. Caicedo ,15
141,A. Garnacho Ferreyra ,15
142,R. Jiménez ,15
143,João Félix ,15
144,C. Gakpo ,15
145,M. Jensen ,14
146,Bruno Guimarães ,14
147,C. Gallagher ,14
148,Adama Traoré ,14
149,S. Mara ,14
150,João Moutinho ,14
151,J. Henderson ,13
152,J. Ayew ,13
153,C. Nørgaard ,13
154,J. Andersen ,13
155,P. Dasilva ,13
156,J. Ayodele-Aribo ,13
157,P. Struijk ,13
158,J. Ramsey ,13
159,D. Undav ,13
160,D. James ,13
161,L. Sinisterra ,13
162,H. Ziyech ,13
163,M. Kovacic ,13
164,Diogo Jota ,13
165,A. Isak ,13
166,Matheus Cunha ,13
167,Dan Burn ,12
168,J. Murphy ,12
169,S. Botman ,12
170,A. Martial ,12
171,M. Akanji ,12
172,E. Ferguson ,12
173,C. Wood ,11
174,T. Cairney ,11
175,L. Dunk ,11
176,K. Zouma ,11
177,B. Davies ,11
178,T. Castagne ,11
179,J. Sancho ,11
180,R. James ,11
181,Fábio Carvalho ,11
182,S. Greenwood ,11
183,Pedro Neto ,11
184,A. Bella Kotchap ,11
185,L. Ayling ,11
186,E. Dennis ,11
187,C. Dawson ,11
188,D. Ouattara ,11
189,Thiago Silva ,10
190,M. Doherty ,10
191,J. Lingard ,10
192,R. Henry ,10
193,V. Janelt ,10
194,R. Ait Nouri ,10
195,A. Elanga ,10
196,J. Gelhardt ,10
197,Renan Lodi ,10
198,Fábio Vieira ,10
199,P. Aubameyang ,10
200,Carlos Vinícius ,10
201,N. Keita ,10
202,P. Sarabia ,10
203,Thiago ,9
204,K. Koulibaly ,9
205,L. Shaw ,9
206,Fabinho ,9
207,A. Robertson ,9
208,R. Loftus-Cheek ,9
209,Rúben Dias ,9
210,S. Surridge ,9
211,T. Davies ,9
212,N. Kebano ,9
213,K. Tete ,9
214,M. Kilman ,9
215,P. Estupiñán ,9
216,L. Cooper ,9
217,A. Laporte ,9
218,K. Sulemana ,9
219,A. Lallana ,8
220,K. Trippier ,8
221,Jorginho ,8
222,Jonny ,8
223,C. Lenglet ,8
224,A. Guehi ,8
225,V. Mykolenko ,8
226,N. Patterson ,8
227,Ashley Young ,8
228,A. Pérez ,8
229,Lyanco ,8
230,S. Edozie ,8
231,H. Wilson ,8
232,J. Enciso ,8
233,W. Weghorst ,8
234,Tetê ,8
235,C. Azpilicueta ,7
236,A. Cresswell ,7
237,L. Digne ,7
238,N. Aké ,7
239,R. Koch ,7
240,S. McTominay ,7
241,M. Cash ,7
