,Name,top_successful_dribbles
0,B. Saka,50
1,S. Benrahma ,43
2,Adama Traoré ,42
3,E. Eze ,41
4,Gabriel Martinelli ,41
5,W. Zaha ,40
6,A. Saint-Maximin ,38
7,Joelinton ,38
8,L. Bailey ,38
9,S. March ,38
10,M. Olise ,36
11,J. Harrison ,35
12,A. Iwobi ,34
13,M. Tavernier ,34
14,M. Rashford ,34
15,D. McNeil ,33
16,M. Ødegaard ,33
17,J. Ayew ,32
18,M. Gibbs-White ,32
19,J. Grealish ,31
20,H. Kane ,31
21,Mohamed Salah ,30
22,João Cancelo ,30
23,Gabriel Jesus ,30
24,K. Mitoma ,30
25,D. Gray ,29
26,D. Kulusevski ,29
27,Antonee Robinson ,29
28,M. Almirón ,28
29,B. Aaronson ,28
30,Matheus Nunes ,28
31,K. Dewsbury-Hall ,26
32,K. De Bruyne ,26
33,L. Trossard ,26
34,Willian ,26
35,K. Walker-Peters ,24
36,R. Ait Nouri ,24
37,J. Bowen ,24
38,J. Zemura ,23
39,Aleksandar Mitrovic ,23
40,Bernardo Silva ,23
41,D. Rice ,23
42,R. Loftus-Cheek ,23
43,R. Bentancur ,22
44,Bruno Guimarães ,22
45,B. Johnson ,22
46,Thiago ,22
47,R. Sterling ,21
48,R. Christie ,21
49,Son Heung-Min ,21
50,D. Solanke ,20
51,P. Foden ,20
52,B. Mbeumo ,20
53,P. Dasilva ,20
54,A. Mac Allister ,20
55,J. McGinn ,19
56,Daniel Podence ,19
57,J. Schlupp ,18
58,P. Højbjerg ,18
59,E. Nketiah ,18
60,T. Partey ,18
61,Diogo Dalot ,18
62,H. Elliott ,18
63,Bruno Fernandes ,17
64,J. Ayodele-Aribo ,17
65,N. Williams ,17
66,L. Díaz ,17
67,M. Mount ,17
68,Nélson Semedo ,17
69,Y. Tielemans ,16
70,A. Gordon ,16
71,Emerson Royal ,16
72,A. Mvom Onana ,16
73,M. Antonio ,16
74,Andreas Pereira ,16
75,Lucas Paquetá ,16
76,Philippe Coutinho ,15
77,B. De Cordova-Reid ,15
78,M. Djenepo ,15
79,M. Elyounoussi ,15
80,Rúben Neves ,15
81,K. Havertz ,15
82,H. Barnes ,15
83,P. Billing ,15
84,Joe Willock ,15
85,R. Mahrez ,15
86,C. Adams ,15
87,Douglas Luiz ,15
88,Antony ,15
89,W. Gnonto ,15
90,D. Welbeck ,14
91,J. Maddison ,14
92,J. Sancho ,14
93,Rodri ,14
94,B. Kamara ,14
95,R. Henry ,14
96,E. Buendía ,14
97,K. Trippier ,14
98,Stuart Armstrong ,14
99,M. Jensen ,14
100,M. Caicedo ,14
101,D. Ings ,13
102,Jonny ,13
103,O. Watkins ,13
104,N. Kebano ,13
105,M. Kilman ,13
106,Pedro Neto ,13
107,P. Fornals ,13
108,Darwin Núñez ,13
109,T. Alexander-Arnold ,13
110,L. Sinisterra ,13
111,C. Doucoure ,13
112,I. Gueye ,13
113,H. Traore ,13
114,K. Sulemana ,13
115,A. Doucouré ,12
116,C. Pulisic ,12
117,O. Edouard ,12
118,R. Lavia ,12
119,G. Xhaka ,12
120,H. Ziyech ,12
121,A. Robertson ,12
122,João Palhinha ,12
123,C. Summerville ,12
124,S. Coleman ,12
125,H. Bueno ,12
126,C. Romero ,11
127,L. Martínez ,11
128,T. Lamptey ,11
129,M. Roca ,11
130,O. Mangala ,11
131,V. Mykolenko ,11
132,J. Lerma ,11
133,J. Milner ,11
134,S. Edozie ,11
135,C. Gallagher ,11
136,S. Aurier ,11
137,Y. Wissa ,11
138,E. Dennis ,11
139,A. Garnacho Ferreyra ,11
140,R. James ,10
141,N. Patterson ,10
142,S. Mara ,10
143,S. McTominay ,10
144,I. Perisic ,10
145,Adam Armstrong ,10
