,Name,top_tackles_won
0,João Palhinha,59
1,P. Struijk ,44
2,T. Adams ,42
3,C. Doucoure ,37
4,Joelinton ,36
5,A. Mvom Onana ,36
6,N. Williams ,35
7,K. Trippier ,34
8,J. Ayew ,33
9,J. Schlupp ,33
10,T. Castagne ,33
11,Rodri ,32
12,Bruno Fernandes ,32
13,K. Tete ,31
14,Rúben Neves ,31
15,Nélson Semedo ,31
16,T. Soucek ,30
17,M. Salisu ,29
18,M. Caicedo ,29
19,Matheus Nunes ,29
20,J. McGinn ,28
21,Y. Tielemans ,28
22,R. Bentancur ,28
23,A. Mac Allister ,28
24,A. Iwobi ,28
25,I. Gueye ,28
26,B. White ,27
27,Diogo Dalot ,27
28,M. Roca ,27
29,Jorginho ,27
30,T. Partey ,26
31,J. Ramsey ,26
32,Emerson Royal ,26
33,Casemiro ,26
34,M. Almirón ,25
35,B. Soumaré ,25
36,S. Aurier ,25
37,D. McNeil ,24
38,M. Senesi ,24
39,R. Perraud ,24
40,Douglas Luiz ,24
41,J. Veltman ,23
42,O. Ndidi ,23
43,A. Gordon ,23
44,T. Mitchell ,23
45,M. Jensen ,23
46,João Moutinho ,23
47,Thiago ,23
48,T. Alexander-Arnold ,22
49,K. Dewsbury-Hall ,22
50,R. Kristensen ,22
51,B. Kamara ,22
52,M. Cash ,22
53,L. Cook ,22
54,Gabriel Magalhães ,22
55,Thiago Silva ,22
56,V. Mykolenko ,22
57,Lucas Paquetá ,22
58,J. Ward-Prowse ,21
59,Fabinho ,21
60,João Cancelo ,21
61,V. Coufal ,21
62,Bernardo Silva ,21
63,P. Billing ,21
64,M. Cucurella ,21
65,R. Koch ,21
66,Joe Willock ,21
67,D. Rice ,21
68,V. Janelt ,21
69,B. Saka ,21
70,R. Ait Nouri ,21
71,Fred ,21
72,C. Romero ,21
73,A. Smith ,21
74,B. De Cordova-Reid ,20
75,Bruno Guimarães ,20
76,J. Zemura ,20
77,Antonee Robinson ,20
78,L. Martínez ,20
79,J. Gomez ,20
80,Ashley Young ,20
81,W. Faes ,20
82,L. Shaw ,19
83,P. Højbjerg ,19
84,J. Ayodele-Aribo ,19
85,C. Gallagher ,19
86,R. Henry ,19
87,P. Groß ,19
88,S. March ,19
89,T. Kehrer ,19
90,L. Cooper ,19
91,S. Coleman ,19
92,Dan Burn ,18
93,J. Lerma ,18
94,Sean Longstaff ,18
95,J. Justin ,18
96,T. Malacia ,18
97,H. Reed ,18
98,K. Walker-Peters ,18
99,M. Mount ,18
100,P. Estupiñán ,18
101,M. Olise ,18
102,R. Freuler ,18
103,Renan Lodi ,18
104,L. Ayling ,18
105,C. Azpilicueta ,17
106,M. Tavernier ,17
107,Gabriel Jesus ,17
108,N. Patterson ,17
109,K. Koulibaly ,17
110,J. Ward ,17
111,M. Elyounoussi ,17
112,A. Guehi ,17
113,M. Akanji ,17
114,W. Zaha ,16
115,S. McTominay ,16
116,W. Saliba ,16
117,A. Maitland-Niles ,16
118,C. Kouyaté ,16
119,G. Xhaka ,15
120,Daniel Podence ,15
121,E. Eze ,15
122,R. Lavia ,15
123,J. Tarkowski ,15
124,R. Christie ,15
125,S. Botman ,15
126,K. Mitoma ,15
127,B. Johnson ,15
128,T. Tomiyasu ,15
129,E. Buendía ,15
130,I. Perisic ,14
131,J. Worrall ,14
132,Philippe Coutinho ,14
133,T. Ream ,14
134,A. Hickey ,14
135,E. Dier ,14
136,R. Yates ,14
137,M. Kilman ,14
138,H. Bueno ,14
139,I. Diop ,14
140,A. Wan-Bissaka ,14
141,C. Nørgaard ,13
142,D. Gray ,13
143,M. Ødegaard ,13
144,C. Mepham ,13
145,I. Gündogan ,13
146,J. Bednarek ,13
147,N. Clyne ,13
148,M. Kovacic ,13
149,J. Maddison ,13
150,J. Anthony ,13
151,C. Summerville ,13
